word,count
ether,21
across,431
prove,197
lost,2238
already,589
brace,31
event,14
impatiently,2
waitin,179
aids,5
test,281
results,15
pac,3
west,194
north,123
flossed,1
greetings,33
embrace,178
napalm,15
blows,106
guts,65
chest,232
gone,2204
garbage,38
semi-autos,1
cartilage,3
burner,8
side,1407
91,6
truest,5
rapper,23
influenced,2
chapters,3
eyes,3819
judas,35
hawaiian,2
sophie,1
tsk,1
ashes,204
faggots,5
kneel,59
kiss,901
motherfuckin,64
ring,398
forgotten,186
luck,221
hoped,37
piss,81
grave,463
laugh,432
well-wishin,1
friendly-actin,1
envy-hidin,1
snakes,52
gay-z,1
cock-a-fella,1
records,70
wanted,925
started,407
cockin,1
weapon,65
slowly,409
loadin,8
ammo,7
explode,58
camel,9
soldiers,102
handle,116
dolo,3
manuscript,1
stupid,253
krs,2
blueprint,11
nerve,38
dick-suckin,1
ha,407
late,931
great,578
veteran,8
deal,207
emotions,100
sad,620
traded,28
riches,36
grow,488
famous,73
proud,246
dad,131
seem,520
concerned,20
dissin,6
abused,31
ugly,120
harsh,16
hug,57
reject,42
blatant,10
indirectly,1
88,1
chased,21
building,123
smilin,27
glad,202
bread,104
wearin,34
jaz,3
tecs,3
cars,143
jail,49
bars,65
jigga,5
pies,8
case,173
shirts,10
phony,10
stan,10
thirty-six,4
karate,14
class,125
tae-bo,1
ho,211
brolic,1
knowledge,38
learn,502
burn,1203
dame,14
diddy,18
dummy,8
puffy,2
rockefeller,1
died,310
end,2212
chapter,32
guy,331
chose,58
company,126
together,1118
fellas,26
dry,306
pine,20
nine,189
foxy,1
puss,4
looks,348
negro,3
no-mustache-having,1
whiskers,26
rat,42
compared,11
beans,11
stabbed,24
un,17
blame,589
kane,4
irv,1
eminem,6
murdered,15
dick-ridin,1
russell,2
simmons,4
r-o-c,2
gunned,5
clapped,5
j.j,2
evans,2
record,103
label,40
shawn,6
carter,2
shawny,1
classics,3
pop,250
working,277
aiyo,4
ti-dop,3
victory,133
surprisingly,4
laying,81
waiting,1462
mistake,209
status,31
escalate,13
collecting,24
connecting,23
plots,3
networking,2
conference,2
nonsense,19
jakes,6
haters,58
clap,127
scoped,1
weak,317
choked,24
poked,2
d-low,2
saying,420
versus,8
bs,4
walks,109
funny,243
meatheads,1
stalk,19
dig,228
hawk,15
putting,103
cornballs,1
stonewalled,1
blackballed,2
running,1137
plan,255
job,184
mob,41
blazing,32
disappearing,22
fog,39
mist,40
resist,126
begging,155
dillznick,1
someone,1711
may,978
hurt,880
shady,61
gravy,19
platinum,26
respect,154
hitting,35
deck,20
feeling,1843
banging,29
onslaught,2
viciously,3
history,191
instantly,11
lame-ass,1
loser-ass,1
later,155
shade,98
gators,6
grimy,3
mud,63
pants,85
shirt,75
bet,294
fu-fu-fully,1
qualified,10
pro,27
business,218
fu-fu-fu-fully,1
qua-qua-qua-qua,1
fully-fu-fully,1
sendin,13
indeed,40
nomsayin,2
war,924
outside,417
hide,916
done,1592
halfway,76
crooks,8
cooks,3
part,635
similar,10
vietnam,8
grown,137
control,956
riot,94
gear,31
rocked,15
steady,115
one-double,1
skin,754
thick,89
mix,89
action,137
puffin,6
lye,1
relaxin,2
depressed,42
slug-proof,1
underneath,288
foot,190
stroll,6
drama,78
built,233
unfinished,5
killed,170
mixin,3
vodka,18
goin,26
scarred,41
lord,1059
forgive,207
knowin,29
killa,16
untold,15
alive,1298
survival,53
fit,302
strong,728
survive,375
worlds,157
dough,40
y'know,17
countin,62
proceed,23
caution,21
five-oh,1
lurkin,6
system,158
usin,2
names,106
bagged,2
ounces,4
squads,2
twin,34
happens,111
reason,822
upstate,2
bleedin,44
shorty,56
troop,6
four,325
difficult,34
trick,135
jew,4
savin,16
pushin,14
lex,9
jet,56
stayin,91
projects,16
out-clever,1
separate,69
lootfuck,1
lookin,300
cute,67
strictly,11
timb,1
certified,12
laid,134
enjoyin,3
smell,176
bridge,147
realize,264
95,2
hypnotic,19
paralyzed,50
mobb,5
mess,404
realness,1
ahead,279
fresh,172
stakes,27
fatten,2
plate,75
cats,40
always,3317
win,372
g-a-n-g,1
starr,9
wipin,1
team,115
splatter,8
shatter,24
schemes,18
badder,19
surprise,144
fell,493
deathtrap,1
clutches,8
single,382
touches,17
suffered,12
return,271
harder,348
starter,5
martyr,43
nameless,25
understood,42
vital,29
save,1227
gang,250
suggest,18
stand,1466
spray,37
set-up,5
power,784
jealous,78
sour,30
bolder,7
impossible,167
magazines,21
fully-loaded,1
spittin,16
decade,18
fry,13
fail,177
frail,25
attackin,1
slick,31
apache,10
trigger-happy,1
blowing,107
wig,4
piece,290
anyhow,27
consequence,46
childish,15
content,29
scope,20
metaphorically,1
snipe,1
liked,68
gas,115
ignite,52
flamethrower,2
afraid,641
position,33
small,212
soldier,123
colder,75
resort,13
violence,181
beating,225
buyin,8
surpass,2
harass,2
chrome,37
the-the-the,1
f-f-f-full,2
storm,388
weather,198
cold,1483
warm,360
lettin,34
holla,19
sting,59
causin,11
mayhem,33
gassed,7
thinks,114
stoppin,14
undoubtably,1
tearin,23
balcony,26
ifs,4
ands,2
buts,3
infinite,46
relapse,37
shittin,2
salary,3
hourly,2
bows,20
shits,24
bowels,11
whichever,2
married,106
gift,126
curse,180
earth,716
urge,39
universe,103
okay,701
scissors,10
cut,839
crap,24
wrap,99
lied,134
teeth,340
instead,228
crowned,11
capped,3
fans,49
promise,564
honest,152
cd,9
ehh,14
perhaps,39
accents,1
click-clack-blaow,1
circle,103
mapped,6
follows,33
exorcise,1
demons,284
ma'fuckers,1
jumpin,21
jacks,1
startin,16
breakin,73
cage,110
standin,67
