danceability,energy,key,mode,speechiness,instrumentalness,liveness,tempo,loudness,acousticness,valence,duration_ms,Is_Popular,track_genre
0.755,0.454,9,0,0.0352,0.0,0.236,120.06,-9.609,0.757,0.33,302346,0,acoustic
0.574,0.385,2,1,0.0326,0.0,0.103,122.02,-6.786,0.019,0.0875,256147,0,power-pop
0.555,0.865,11,0,0.0305,0.0139,0.0492,124.924,-6.39,0.000791,0.842,190490,0,power-pop
0.573,0.851,7,1,0.0658,2.63e-06,0.307,162.897,-6.154,0.00884,0.788,164029,0,power-pop
0.512,0.899,5,1,0.0406,0.00118,0.239,74.999,-5.818,0.000672,0.652,189915,0,power-pop
0.527,0.934,8,1,0.0405,7.8e-06,0.132,138.95,-4.753,0.0103,0.469,301796,0,power-pop
0.617,0.803,1,1,0.0692,0.0,0.235,119.985,-2.357,0.011,0.523,175999,0,comedy
0.335,0.881,0,1,0.0934,0.0,0.11,96.9,-6.48,0.00805,0.173,297093,0,acoustic
0.485,0.924,10,1,0.0579,1.62e-06,0.248,143.244,-4.046,0.0373,0.661,266706,0,alt-rock
0.37,0.861,4,0,0.0625,0.00449,0.107,155.671,-4.588,0.00959,0.16,185440,0,alternative
0.564,0.976,6,1,0.0592,0.247,0.0868,107.995,-3.562,8.83e-06,0.642,250666,0,industrial
0.577,0.937,7,1,0.0452,0.0019,0.0619,92.528,-5.198,0.000106,0.639,223213,0,industrial
0.587,0.319,5,1,0.0298,0.0276,0.176,103.833,-14.687,0.265,0.475,210040,0,honky-tonk
0.645,0.294,2,1,0.0343,4.46e-06,0.149,122.379,-15.183,0.871,0.724,184973,0,honky-tonk
0.521,0.449,4,1,0.0506,0.0,0.101,156.694,-13.521,0.697,0.905,168000,0,honky-tonk
0.615,0.385,7,1,0.0312,0.0,0.241,126.164,-9.68,0.876,0.728,143973,0,honky-tonk
0.471,0.862,4,1,0.0407,3.87e-05,0.109,137.532,-7.362,0.00686,0.621,231266,0,power-pop
0.561,0.71,4,1,0.0324,0.00169,0.104,124.803,-9.803,0.1,0.677,216466,0,power-pop
0.448,0.297,5,1,0.0294,0.00416,0.152,108.008,-14.744,0.805,0.653,167066,0,honky-tonk
0.68,0.29,0,1,0.0297,9.33e-05,0.0975,116.875,-10.594,0.901,0.671,159666,0,honky-tonk
0.485,0.268,11,1,0.0281,0.226,0.212,92.69,-14.994,0.703,0.471,186093,0,honky-tonk
0.445,0.29,11,1,0.0283,0.00064,0.132,76.447,-13.598,0.433,0.414,212973,0,honky-tonk
0.324,0.245,0,1,0.036,0.0,0.156,97.833,-9.678,0.781,0.244,203493,0,honky-tonk
0.48,0.13,8,1,0.0289,0.000105,0.127,82.184,-15.977,0.548,0.448,157920,0,honky-tonk
0.806,0.58,7,1,0.0315,0.0,0.296,112.916,-8.833,0.69,0.806,162133,0,honky-tonk
0.552,0.667,5,1,0.0615,1.96e-05,0.124,172.49,-9.638,0.527,0.679,135200,0,honky-tonk
0.507,0.229,4,1,0.0251,0.0,0.269,80.209,-9.835,0.674,0.276,165666,0,honky-tonk
0.568,0.382,6,1,0.0323,0.0,0.123,111.388,-12.898,0.749,0.429,169893,0,honky-tonk
0.36,0.248,6,1,0.0265,8.4e-05,0.181,81.276,-15.53,0.611,0.375,158666,0,honky-tonk
0.541,0.559,2,1,0.0249,0.0,0.306,144.79,-5.04,0.507,0.601,168320,0,honky-tonk
0.476,0.349,2,1,0.0275,0.0,0.0805,138.085,-11.635,0.537,0.316,206213,0,honky-tonk
0.617,0.257,4,1,0.0338,5.93e-06,0.165,117.047,-12.332,0.798,0.585,203986,0,honky-tonk
0.644,0.194,10,1,0.0311,0.000292,0.0948,97.371,-17.324,0.842,0.364,142400,0,honky-tonk
0.366,0.209,4,1,0.0297,2.26e-05,0.193,99.082,-15.68,0.866,0.549,162680,0,honky-tonk
0.564,0.705,5,1,0.0457,0.0,0.428,155.114,-7.107,0.531,0.962,144000,0,honky-tonk
0.558,0.48,2,1,0.0264,2.54e-06,0.357,103.632,-6.865,0.671,0.331,213333,0,honky-tonk
0.642,0.282,11,1,0.0405,2.47e-05,0.243,121.163,-18.19,0.513,0.29,205573,0,honky-tonk
0.449,0.243,11,1,0.0299,7.49e-06,0.0983,78.397,-11.611,0.796,0.23,169306,0,honky-tonk
0.637,0.575,9,1,0.0547,0.0,0.117,96.992,-13.153,0.758,0.783,127640,0,honky-tonk
0.551,0.375,6,1,0.0247,0.000168,0.128,139.397,-7.932,0.668,0.335,157320,0,honky-tonk
