danceability,energy,key,mode,speechiness,instrumentalness,liveness,tempo,loudness,acousticness,valence,duration_ms,Is_Popular,track_genre
0.353,0.997,9,1,0.0769,0.0,0.26,155.615,-2.947,0.00259,0.526,147400,0,power-pop
0.309,0.993,7,0,0.125,0.00262,0.445,128.162,-2.462,0.000173,0.0769,98520,0,grindcore
0.393,0.977,11,0,0.102,0.000103,0.956,133.979,-4.176,1.72e-05,0.232,219040,0,industrial
0.668,0.473,10,1,0.0583,0.0,0.224,112.213,-14.607,0.443,0.888,140000,0,honky-tonk
0.306,0.961,5,0,0.178,0.118,0.0818,113.341,-7.48,2.97e-06,0.202,75746,0,grindcore
0.446,0.88,0,1,0.0607,0.0132,0.134,134.902,-6.519,0.00102,0.34,332480,0,goth
0.318,0.849,10,1,0.207,0.0251,0.325,141.374,-5.754,2.85e-05,0.222,210453,0,grindcore
0.563,0.879,0,0,0.0907,1.76e-05,0.166,107.013,-4.735,0.00125,0.602,197651,0,dance
0.655,0.393,7,0,0.0461,0.0,0.101,130.703,-13.969,0.0999,0.382,236933,0,rockabilly
0.507,0.951,9,1,0.0627,0.0,0.0545,161.384,-5.238,0.00371,0.512,125266,0,power-pop
0.617,0.952,2,1,0.168,0.0652,0.0253,111.924,-5.018,0.0226,0.62,230973,0,industrial
0.403,0.962,9,1,0.0868,0.0,0.301,186.911,-3.726,0.00158,0.664,138346,0,power-pop
0.389,0.685,7,1,0.0327,9.45e-05,0.122,75.019,-8.478,0.00859,0.125,298080,0,world-music
0.629,0.837,3,1,0.0291,0.439,0.115,125.013,-5.677,0.000725,0.772,234306,0,synth-pop
0.64,0.696,0,1,0.0269,0.00155,0.294,115.289,-8.37,0.000532,0.892,180533,0,power-pop
0.53,0.196,10,1,0.0285,1.61e-06,0.0975,105.624,-16.187,0.797,0.583,170946,0,honky-tonk
0.565,0.701,5,1,0.0445,0.0,0.125,150.9,-4.098,0.144,0.421,207911,0,trip-hop
0.262,0.677,7,1,0.0528,0.0,0.205,207.478,-5.645,0.447,0.365,197146,0,piano
0.658,0.688,8,1,0.0584,0.0,0.0934,84.431,-4.273,0.121,0.506,212720,0,j-dance
0.244,0.942,6,0,0.184,0.647,0.267,97.498,-4.074,4.24e-05,0.195,168680,0,grindcore
0.608,0.707,11,0,0.266,0.0,0.362,112.119,-9.369,0.204,0.472,161013,0,dancehall
0.229,0.413,5,0,0.0892,0.904,0.0644,119.816,-3.835,1.18e-06,0.0777,200687,0,black-metal
0.322,0.906,0,0,0.121,0.604,0.336,110.498,-8.75,4.29e-06,0.152,252720,0,black-metal
0.496,0.856,2,1,0.218,0.0,0.524,96.994,-4.196,0.287,0.307,188041,0,j-dance
0.668,0.614,7,0,0.0522,0.000168,0.312,95.073,-5.492,0.36,0.5,258760,0,trip-hop
0.441,0.889,1,0,0.0333,0.00398,0.084,92.584,-8.201,3.95e-05,0.74,222733,0,goth
0.258,0.97,6,1,0.196,0.883,0.251,94.51,-5.546,0.000324,0.432,71933,0,grindcore
0.574,0.844,6,1,0.0337,0.0,0.333,133.141,-9.179,0.0275,0.754,200333,0,synth-pop
0.541,0.759,7,1,0.0431,0.294,0.0998,120.048,-4.717,0.00185,0.314,239746,0,power-pop
0.528,0.718,7,1,0.0337,0.0,0.304,155.759,-6.954,0.1,0.51,221400,0,country
0.25,0.974,1,1,0.188,0.44,0.129,150.046,-5.143,3.61e-05,0.104,427506,0,black-metal
0.638,0.52,6,0,0.206,0.0104,0.203,193.634,-9.034,0.351,0.161,202945,0,j-dance
0.596,0.42,10,1,0.0255,0.0103,0.094,91.899,-10.584,0.776,0.431,188406,0,power-pop
0.176,0.753,0,1,0.044,0.839,0.199,102.101,-5.754,1.07e-05,0.47,129639,0,garage
0.453,0.983,1,1,0.154,0.126,0.0767,139.076,-5.828,4.6e-05,0.372,197284,0,industrial
0.664,0.326,10,1,0.0271,3.21e-06,0.103,93.855,-12.98,0.738,0.555,182440,0,honky-tonk
0.259,0.88,10,1,0.112,0.965,0.408,125.287,-11.59,0.00327,0.0364,96840,0,grindcore
0.43,0.375,11,1,0.0289,0.376,0.316,128.791,-9.949,0.374,0.189,277960,0,rock
0.316,0.908,1,1,0.0489,0.241,0.12,177.052,-8.746,8.26e-05,0.564,261213,0,black-metal
0.726,0.7,6,0,0.121,0.367,0.0713,142.988,-5.958,0.00343,0.339,408827,0,hardstyle
0.262,0.712,10,0,0.0906,0.775,0.37,125.433,-13.353,0.00558,0.319,135213,0,grindcore
0.654,0.934,1,1,0.0389,0.00433,0.0872,109.97,-4.388,0.00134,0.231,222826,0,industrial
0.297,0.817,9,0,0.121,0.297,0.18,125.225,-10.017,0.00062,0.0744,113346,0,grindcore
0.61,0.693,4,0,0.0337,4.58e-05,0.339,104.024,-7.91,0.632,0.701,177240,0,bluegrass
